,Sentence,Emotion
0,언니 동생으로 부르는게 맞는 일인가요..??,공포
1,그냥 내 느낌일뿐겠지?,공포
2,아직너무초기라서 그런거죠?,공포
3,유치원버스 사고 낫다던데,공포
4,근데 원래이런거맞나요,공포
5, 남자친구가 떠날까봐요,공포
6,이거 했는데 허리가 아플수도 있나요? ;;,공포
7,내가불안해서꾸는걸까..,공포
8, 일주일도 안 남았당...ㅠㅠ,공포
9,약은 최대한 안먹으려고 하는데좋은 음시있나요?0,공포
10, 구직활동 하면서 남는시간은 뭘로 활용해야 되지..,공포
11,괜찮은분 같아서 괜히 조급해지네요 ㅜ,공포
12, 제가 스타일을 바꾸면 더 어색하게만 변할것같아서 ㅠ0,공포
13,아내 있으면 여자 있는 술집가면 법 적으로 문제있나요?,공포
14, 한소리들을지.... 도와주세요,공포
15,도와주실분 없나요..,공포
16,그냥 잡다한거말고학업에 관련된거 듣는게 더 좋은가요?,공포
17, 가격은 반값....이거 질이 다른건가요??,공포
18,마지막에 말씀 드렸던대로 글은 이제 내릴게요의도치않게 실시간베스트글에 올라가서 남친이 볼거 같아서요 ㅠㅠ,공포
19,"화장품회사다보니, 젊은 여자들이 많은거 같은데 걱정이네요..",공포
20, 몸무게 1키로찌는건 아니겠죠?,공포
21,o자 다리 많이 심한가요?,공포
22, 안하는게 나을까요??,공포
23,그정도로 더러운가요.........,공포
24, 보통 가진통도 이렇게 오래가나요?,공포
25,여자가 술취해서 먼저 전화하는거 짜증나요???,공포
26,걱정이 큽니다,공포
27,이거 무슨 증상이죠??ㅜㅜ,공포
28, 다름 아니라 제동생 걱정 입니다,공포
29,아무래도 무리겠죠?,공포
30,애인으로써 정말 걱정됩니다,공포
31,이러다 일주일전에 나오는거 아닌가몰라요,공포
32,경고먹을까 고민0,공포
33,극도로 예민하고 불안한 상태에요,공포
34, 못받으면 어떡하죠,공포
35, 안검하수도어울릴까요?,공포
36,근데 그게 사마귀 일수 있데요.,공포
37,이제 곧 내년이면 22살인 여대생입니다...요즘 고민이 있는데요...,공포
38, 안하는게 좋은가요?,공포
39,자제할수있는 방법 뭐 없을까요??,공포
40,집에와서 또 운동하긴했는데지난 3주의 노력이 물거품이 될까봐정말 걱정되요,공포
41,옳은 선택인지 모르겠음,공포
42,8월이면 둘째가 태어나서 마음이 더 조급한것같아요 ㅠㅠ,공포
43,엄마한테는 친구랑 보러간다하는데 안들키겠지??,공포
44,내가 구글 폰 계정에 동기화를 안한거 같은데 어쩌죠 ///,공포
45, 아니면 더 빼야하나요?,공포
46,물을안먹어서그러나?..,공포
47, 찾아가는게나을까요?,공포
48,제가 너무 깊이 들어가는건가요?,공포
49,알수있는방법없음?,공포
50,어디다가 짱박으면 좋을까요?,공포
51,첫날안가서 왠지 아싸리 아싸가 될꺼같은 기분...,공포
52,딱 1주일뒤에 군대에 들어가게되는데..,공포
53, 방법이 없을까요?,공포
54,할지말지 고민이네요.,공포
55,검색해보니까 행동발달장애를 가져올수 있다는데...,공포
56,이게맞는방법인가요?,공포
57,아~ 정말 어떻게 해야되죠..1,공포
58, 혼자 웃다가 울다가 조울증인가싶기두해여..,공포
59, 월욜날연락주신댔는데지금불안해서미치겠어요ㅜㅜ,공포
60,왠지 오늘은 15분늦게올꺼같은디.,공포
61,사진 많이크나요..?,공포
62,이거 안좋은거 아니예요?,공포
63,나오늘 전달받은거없는데 퇴근시간20분넘고불안하다..,공포
64, 근육이 붙진 않겠죠?ㅠ,공포
65,방법을 잘 모르겠네요...,공포
66, 너무많이하는거죠?,공포
67,뭘해야할지 모르겠네요,공포
68,어깨때문인가,공포
69,걱정되서 잠이안와요!!,공포
70, 예정일이 보름이나 지나도 생리를 안해요,공포
71,시험5이 남았는데 과목 한개도 못 끝냈네,공포
72,앞으로 이 남자가 제 편이 되어줄지도 의문이네요,공포
73,저떨어진건가요..?,공포
74,저 이제 어떡하죠,공포
75,어휴...어떻게 처리하죠?0,공포
76,지금 20대 초반인데 혹시 재발확률 있는지...,공포
77,"미래에 30대,40대는 어떻게 해야햐나 싶기도 하고 그렇네요.",공포
78, 어떻게 되는지 걱정되서 그러는데 답좀 부탁드리겠습니다.,공포
79,투잡을 해야하나...,공포
80,믿을만한건지요 ?,공포
81,애기는 잘있나?,공포
82, 그냥 화가나서 연락을 안하는걸까요...?,공포
83,보증금 300도 있을까말까입니다.,공포
84,여자친구가 오빠가 2명다 오신다는데긴장되네요,공포
85,어른들은 변을 보시더니 아이가 분유를 소화를 못시키는거라구 하시네여...,공포
86,"지금 핫팩을 좀 보내주고 싶은데, 괜히 눈치 보이지 않을까요?",공포
87, 이거 성격장애아닌가요? ?,공포
88, 종아리 두꺼워지려나ㅠ,공포
89,어떻게할방법이없을까요?,공포
90, 막 매출이 막 떨어질 것 같음.,공포
91,출산 경험 있으신분들 좀 알려주세요 ㅠ,공포
92, 정적 흐를땐 어떻게 하시나요,공포
93,내가 잘 말한걸까?,공포
94,안올것같기도하고...주위에서 세상에 남자는많다라고하는데..제몸하나 쓰담어주는남자는 다신 안나타날것같은?불안하고 하네요~,공포
95,제가 알바 자체가 처음이라..,공포
96,저녁 늦게 천둥이 치는데 방이 흔들리는 것을 느꼈어요,공포
97, 많이 걱정돼요ㅠㅠㅠㅠ,공포
98,애들 진짜 못키우는데...,공포
99,모기매트는 안전한가요? 옥시때문에 의심이 늘어서,공포
100,노트7 쓰고 있는 사람들은 우짜노...나도 쓰는데 불안불안..,공포
101,점점 추워진다는게 걱정이네,공포
102,중국에서 한반도로 독가스를 자꾸 보내고 있는데 이러다가 멸망하는 것은 아닐까? 싶다,공포
103,이제 앞으로 더 이러한 현상들이 심해질걸요?,공포
104,이슬람계는 절대 절대 받지 말아야..,공포
105,어떻게 키우면 집고양이가 길고양이랑 새끼를낳아?,공포
106,골키퍼가 젤 불안!!,공포
107,이러다가 다른나라에서 명예 회복 해달라고 국제 소송 거는거 아닌가? ..,공포
108,저렇게 맨손으로 만져도 되나?,공포
109,사진.. 사냥개도 있네.. 저러다 늑대개로 돌변하면 우짤라꼬..,공포
110,허걱 배달되는 오븐스파게티 거의다 저 용기던데...,공포
111,특히 이분야는 선점효과가 너무큼 실패할가능성이 높다,공포
112,에프엑스도 요즘불안한데....,공포
113,이성우 때문에 지겠다,공포
114,아 4차원 롤러코스트 진짜 무섭겠다,공포
115,대신에 기형아의 가능성이 엄청 높아진다. .,공포
116,우리의미래가걱정된다,공포
117,진짜떨린다,공포
118,순순히 바꿔준다니 몬가 찝찝하기도하네,공포
119,미국 시민들 불안해서 어떻게 살아...ㄷㄷ,공포
120,여긴 창원마산. 강풍이 심해서 어떻게될지 걱정이다..,공포
121,필리핀 가려면 죽을 각오해야 하네요,공포
122,눈알 파갈라 ㅎㄷㄷㄷㄷㄷ,공포
123,선발진은 여전히 불안불안하네...,공포
124,"저 스모그가 우리나라로 넘어오는게 문제인거지,,ㅠ,,",공포
125,폭발물 소지금지 해야지!,공포
126,갤노트 7 = 폭탄 ???,공포
127,고속충전하면 너무 뜨거워 뭔일 날줄알았다,공포
128,노트7가지고 타면 테러범으로 몰리는건가???,공포
129,문제 있는거 아니냐??,공포
130, 시리아랑 비기는거보고 불안함 ㅠㅠㅠㅠ,공포
131,생초보라 걱정입니다.,공포
132, 준비 시간이 줄어들어 졸작이 되진 않을까요?,공포
133,갑자기 불안하네요,공포
134, 진심 불날까봐 걱정되서 그런다.,공포
135,용인 경전철 꼴나는거 아닌지요,공포
136, 만약에 하나라도 지구가 시간변화에 따라 기후가 변하는 거면 어떡할것인가?,공포
137,거리에 다니면서 할 확률 100%이상..위험하다..,공포
138,삼성의 앞날이 걱정이다.,공포
139,또한번 imf사태가 올것같아,공포
140, 시리아 수비도 못뚫는데 월드컵에서 잘할수있을까...,공포
141, 태풍오면 울산처럼된다.,공포
142,기계가 사람을 지배하는날이 얼마 안남았다.,공포
143,외계인이 있는데 괜찮을까,공포
144, 우리와이프가 저리 살아보구 싶다 할까봐요,공포
145, 누가사는데 만에 하나 구글이 소프트웨어 지원 끊으면 ???,공포
146,저차 위험하다...,공포
147,저 도로 범죄 일어나기 좋을듯.,공포
148,혹시 설날 서빙 할때 손님 많이 올까염???,공포
